"esn","name","total_secs","after_loss","dif","total_percent","bridge_loss","bridge_loss_count","bridge_percent","camera_loss","camera_loss_count","camera_percent","switch_loss","switch_loss_count","switch_percent","month","day"
"10035cb5","IAH3 - 30178","3369600","3365078","4522","99.8700%","0","0","0.0000%","0","0","0.0000%","4522","1","100.0000%","10","29"
"10015d48","BOS1- 34148","5616000","5616000","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","29"
"100eed3d","ORD2 - 30567","4838400","4838054","346","99.9900%","0","0","0.0000%","346","4","100.0000%","0","0","0.0000%","10","29"
"10083044","ORD5 - 30834","5011200","5004421","6779","99.8600%","0","0","0.0000%","3601","1","53.1200%","3178","4","46.8800%","10","29"
"10109078","DTW - 30560","2851200","2849488","1712","99.9400%","0","0","0.0000%","1131","4","66.0600%","581","1","33.9400%","10","29"
"10007c0c","ORD1 - 31387","3283200","3279077","4123","99.8700%","0","0","0.0000%","63","1","1.5300%","4060","1","98.4700%","10","29"
"100d7b9b","SEA1 - 31232","4406400","4405995","405","99.9900%","0","0","0.0000%","405","2","100.0000%","0","0","0.0000%","10","29"
"1000fede","ORD3 - 30566","6048000","6044433","3567","99.9400%","3567","1","100.0000%","0","0","0.0000%","0","0","0.0000%","10","29"
"100b317d","ATL2 - 30564","6134400","6128446","5954","99.9000%","0","0","0.0000%","0","0","0.0000%","5954","3","100.0000%","10","29"
"100d1583","IAD - 30153","3456000","3456000","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","29"
"10093b39","PHL - 31493","5529600","5523657","5943","99.8900%","4643","1","78.1300%","1300","6","21.8700%","0","0","0.0000%","10","29"
"100248df","ORD4 - 30191","6048000","6047935","65","100.0000%","0","0","0.0000%","65","1","100.0000%","0","0","0.0000%","10","29"
"1001eb37","BOS2 - 31336","2592000","2591464","536","99.9800%","0","0","0.0000%","536","2","100.0000%","0","0","0.0000%","10","29"
"10077d26","SJU1 - 31559","5702400","5697634","4766","99.9200%","4766","1","100.0000%","0","0","0.0000%","0","0","0.0000%","10","29"
"10033c8f","IAH2 - 30556","2937600","2937600","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","29"
"1008252d","RDU - 30177","2332800","2332560","240","99.9900%","0","0","0.0000%","240","1","100.0000%","0","0","0.0000%","10","29"
"1007809a","LAX2 - 30668","6134400","6132678","1722","99.9700%","0","0","0.0000%","0","0","0.0000%","1722","1","100.0000%","10","29"
"10061de1","MIA2 - 31246","5961600","5960040","1560","99.9700%","0","0","0.0000%","0","0","0.0000%","1560","1","100.0000%","10","29"
"100c3985","JFK1 - 30557","5184000","5179158","4842","99.9100%","4587","1","94.7300%","255","2","5.2700%","0","0","0.0000%","10","29"
"1009004c","CVG - 32885","3196800","3195545","1255","99.9600%","0","0","0.0000%","1255","4","100.0000%","0","0","0.0000%","10","29"
